Rol;Razón Social;Rubro;Imp. Económica;Región;Situación;Estado
4404;"COOPERATIVA DE TRABAJO DEL MOBILIARIO Y DECORACION ""MOBIDECO""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4413;"COOPERATIVA DE TRABAJO ""ARTESANÍAS Y TURISMO RADAL 7 TAZAS""";Producción y Trabajo.;NO;07 Maule  ;Activa;Vigente
4414;COOPERATIVA DE TRABAJO MINERA LA ESPERANZA DE PUTAENDO LIMITADA;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4415;VACON SOLUCIONES DE INGENIARÍA, PRODUCCIÓN Y COMERCIALIZACIÓN DE PRODUCTOS PLÁSTICOS Y SERVICIOS DE INGENIERÍA;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4418;COOPERATIVA DE TRABAJO DE PRESTACIÓN DE SERVICIOS TURÍSTICOS RUKA GNGEN;Producción y Trabajo.;NO;09 Araucanía  ;Activa;Vigente
4419;COOPERATIVA DE TRABAJO DE SERVICIOS DE TRANSPORTES ÑGEN;Producción y Trabajo.;NO;09 Araucanía  ;Activa;Vigente
4422;COOPERATIVA DE TRABAJO ARTESANOS DE LA PATAGONIA;Trabajo;NO;11 Aisén;Activa;En Formacion
4426;COOPERATIVA DE TRABAJO FORJADORES DEL ARTE EN PATAGONIA CHILE;Producción y Trabajo.;NO;11 Aisén;Activa;Vigente
4427;"""COOPERATIVA DE TRABAJO PUERTO PIEDRA""";Producción y Trabajo.;NO;11 Aisén;Activa;Vigente
4430;"""COOPERATIVA UNIVERSITARIA DE TRABAJO ESTUDIANTIL, VENTA DE INSUMOS Y SERVICIOS DEL CAMPUS CHILLÁN DE LA UNIVERSIDAD DE CONCEPCIÓN";Trabajo;NO;08 Biobío  ;Activa;En Formacion
4435;COOPERATIVA MULTIGREMIAL DE TRABAJO Y SERVICIOS DE TRANSPORTE Y TURÍSTICOS TRAVEL SERVICE;Trabajo;NO;05 Valparaíso  ;Activa;En Formacion
4436;COOPERATIVA DE TRABAJO EN SERVICIOS EDUCACIONALES Y COMUNICACIONES EDUCOOP LTDA.;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4438;"COOPERATIVA DE TRABAJO ""LOS JUNCOS LIMITADA"" ""JUNCOOP LTDA.""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4439;COOPERATIVA DE TRABAJO ALPRO-HELIX-QUELLÓN;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4442;COOPERATIVA DE TRABAJO SILVOAGROPECUARIA DE CHILOÉ, AGROCHILE;Trabajo;NO;10 Los Lagos  ;Activa;En Formacion
4445;COOPERATIVA DE TRABAJO COOPSERCHILE;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4455;COOPERATIVA DE TRABAJO CONJUNTO WEICHAFE;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4460;"""COOPERATIVA DE TRABAJO SIRREMA LIMITADA"", ""COMERCIALIZADORA SIRREMA""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4461;"""COOPERATIVA DE TRABAJO Y DESARROLLO PROFESIONAL"" CODEPRO";Producción y Trabajo.;NO;06 O'Higgins  ;Activa;Vigente
4467;"COOPERATIVA DE TRABAJO ""AGROTURISMO MAPUCHE KIÑEN TXAF AMUAIN ""KTA""";Producción y Trabajo.;NO;09 Araucanía  ;Activa;Vigente
4473;"""COOPERATIVA DE TRABAJO E INVESTIGACIÓN PARA EL DESARROLLO SUSTENTABLE LIMITADA ""LIKAN CKAPIN""";Producción y Trabajo.;NO;03 Atacama  ;Activa;Vigente
4477;"""COOPERATIVA DE TRABAJO EMERGER"" ""EMERGER""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4482;COOPERATIVA DE TRABAJO HUNAB KU, DE INVESTIGACIÓN Y DESARROLLO SOSTENIBLE DE ENERGÍAS ALTERNATIVAS Y SOLUCIONES MEDIO AMBIENTALES.;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
